"jurisdiction","year","mean_tax"
"Switzerland",2001,NA
"Switzerland",2002,NA
"Switzerland",2003,NA
"Switzerland",2004,NA
"Switzerland",2005,NA
"Switzerland",2006,NA
"Switzerland",2007,NA
"Switzerland",2008,7.55955735248159
"Switzerland",2009,7.94692118889252
"Switzerland",2010,26.080451791599
"Switzerland",2011,29.206435391179
"Switzerland",2012,29.8686924830781
"Switzerland",2013,29.243119266055
"Switzerland",2014,49.3980699883479
"Switzerland",2015,56.1872968423178
"Switzerland",2016,77.0532451915784
"Switzerland",2017,75.5617124358281
"Switzerland",2018,83.1199028366365
"Switzerland",2019,86.2960893559344
"Switzerland",2020,89.6757975664827
"Switzerland",2021,88.7946258601442
"Switzerland",2022,119.437528247324
