"jurisdiction","year","mean_tax"
"Sweden",2003,46.3376532900641
"Sweden",2004,52.0877090313462
"Sweden",2005,52.9976425743117
"Sweden",2006,53.9788300935789
"Sweden",2007,55.5374826074
"Sweden",2008,55.6343478356757
"Sweden",2009,58.8240500054794
"Sweden",2010,58.14
"Sweden",2011,126.68478264
"Sweden",2012,128.446939302632
"Sweden",2013,129.87
"Sweden",2014,129.67695648
"Sweden",2015,136.956521797297
"Sweden",2016,138.237641506849
"Sweden",2017,141.615489125
"Sweden",2018,146.057103507042
"Sweden",2019,151.194409971429
"Sweden",2020,151.715860352113
"Sweden",2021,150.664402125
"Sweden",2022,167.260273972603
"Switzerland",1989,NA
"Switzerland",1990,NA
"Switzerland",1991,NA
"Switzerland",1992,NA
"Switzerland",1993,NA
"Switzerland",1994,NA
"Switzerland",1995,NA
"Switzerland",1996,NA
"Switzerland",1997,NA
"Switzerland",1998,NA
"Switzerland",1999,NA
"Switzerland",2000,NA
"Switzerland",2001,NA
"Switzerland",2002,NA
"Switzerland",2003,NA
"Switzerland",2004,NA
"Switzerland",2005,NA
"Switzerland",2006,NA
"Switzerland",2007,NA
"Switzerland",2008,21
"Switzerland",2009,20.76
"Switzerland",2010,63
"Switzerland",2011,44.28
"Switzerland",2012,43.2
"Switzerland",2013,44.28
"Switzerland",2014,73.2
"Switzerland",2015,64.2
"Switzerland",2016,90.72
"Switzerland",2017,90.72
"Switzerland",2018,110.4
"Switzerland",2019,106.56
"Switzerland",2020,103.68
"Switzerland",2021,103.68
"Switzerland",2022,123.6
